Date,Sensor
2025-08-03 23:23:51,201
2025-08-03 23:33:51,200
2025-08-03 23:43:51,200
2025-08-03 23:53:51,200
2025-08-04 00:03:51,200
2025-08-04 00:13:51,200
2025-08-04 00:23:51,200
2025-08-04 00:33:51,200
2025-08-04 00:43:51,200
2025-08-04 00:53:51,200
2025-08-04 01:03:51,200
2025-08-04 01:13:51,200
2025-08-04 01:23:51,200
2025-08-04 01:33:51,200
2025-08-04 01:43:51,200
2025-08-04 01:53:51,200
2025-08-04 02:03:51,200
2025-08-04 02:13:51,200
2025-08-04 02:23:51,200
2025-08-04 02:33:51,200
2025-08-04 02:43:51,201
2025-08-04 02:53:51,201
2025-08-04 03:03:51,201
2025-08-04 03:13:51,201
2025-08-04 03:23:51,201
2025-08-04 03:33:51,201
2025-08-04 03:43:51,202
2025-08-04 03:53:51,202
2025-08-04 04:03:51,202
2025-08-04 04:13:51,202
2025-08-04 04:23:51,202
2025-08-04 04:33:51,202
2025-08-04 04:43:51,202
2025-08-04 04:53:51,202
2025-08-04 05:03:51,202
2025-08-04 05:13:51,202
2025-08-04 05:23:51,202
2025-08-04 05:33:51,202
2025-08-04 05:43:51,203
2025-08-04 05:53:51,203
2025-08-04 06:03:51,202
2025-08-04 06:13:51,203
2025-08-04 06:23:51,203
2025-08-04 06:33:51,203
2025-08-04 06:43:51,203
2025-08-04 06:53:51,203
2025-08-04 07:03:51,203
2025-08-04 07:13:51,203
2025-08-04 07:23:51,203
2025-08-04 07:33:51,203
2025-08-04 07:43:51,203
2025-08-04 07:53:51,203
2025-08-04 08:03:51,203
2025-08-04 08:13:51,203
2025-08-04 08:23:51,203
2025-08-04 08:33:51,203
2025-08-04 08:43:51,203
2025-08-04 08:53:51,203
2025-08-04 09:03:51,202
2025-08-04 09:13:51,202
2025-08-04 09:23:51,201
2025-08-04 09:33:51,201
2025-08-04 09:43:51,201
2025-08-04 09:53:51,200
2025-08-04 10:03:51,199
2025-08-04 10:13:51,199
2025-08-04 10:23:51,199
2025-08-04 10:33:51,198
2025-08-04 10:43:51,198
2025-08-04 10:53:51,197
2025-08-04 11:03:51,197
2025-08-04 11:13:51,196
2025-08-04 11:23:51,196
2025-08-04 11:33:51,196
2025-08-04 11:43:51,195
2025-08-04 11:53:51,195
2025-08-04 12:03:51,195
2025-08-04 12:13:51,195
2025-08-04 12:23:51,194
2025-08-04 12:33:51,194
2025-08-04 12:43:51,194
2025-08-04 12:53:51,194
2025-08-04 13:03:51,194
2025-08-04 13:13:51,194
2025-08-04 13:23:51,194
2025-08-04 13:33:51,194
2025-08-04 13:43:51,194
2025-08-04 13:53:51,194
2025-08-04 14:03:51,193
2025-08-04 14:13:51,193
2025-08-04 14:23:51,193
2025-08-04 14:33:51,193
2025-08-04 14:43:51,192
2025-08-04 14:53:51,192
2025-08-04 15:03:51,192
2025-08-04 15:13:51,192
2025-08-04 15:23:51,192
2025-08-04 15:33:51,192
2025-08-04 15:43:51,191
2025-08-04 15:53:51,191
2025-08-04 16:03:51,191
2025-08-04 16:13:51,191
2025-08-04 16:23:51,191
2025-08-04 16:33:51,192
2025-08-04 16:43:51,192
2025-08-04 16:53:51,192
2025-08-04 17:03:51,192
2025-08-04 17:13:51,192
2025-08-04 17:23:51,192
2025-08-04 17:33:51,192
2025-08-04 17:43:51,192
2025-08-04 17:53:51,192
2025-08-04 18:03:51,193
2025-08-04 18:13:51,193
2025-08-04 18:23:51,193
2025-08-04 18:33:51,193
2025-08-04 18:43:51,193
2025-08-04 18:53:51,193
2025-08-04 19:03:51,194
2025-08-04 19:13:51,194
2025-08-04 19:23:51,194
2025-08-04 19:33:51,195
2025-08-04 19:43:51,195
2025-08-04 19:53:51,196
2025-08-04 20:03:51,196
2025-08-04 20:13:51,196
2025-08-04 20:23:51,197
2025-08-04 20:33:51,197
2025-08-04 20:43:51,198
2025-08-04 20:53:51,198
2025-08-04 21:03:51,198
2025-08-04 21:13:51,198
2025-08-04 21:23:51,199
2025-08-04 21:33:51,199
2025-08-04 21:43:51,199
2025-08-04 21:53:51,199
2025-08-04 22:03:51,199
2025-08-04 22:13:51,199
2025-08-04 22:23:51,199
2025-08-04 22:33:51,199
2025-08-04 22:43:51,199
2025-08-04 22:53:51,199
2025-08-04 23:03:51,200
2025-08-04 23:13:51,200
2025-08-04 23:23:51,200
2025-08-04 23:33:51,200
2025-08-04 23:43:51,200
2025-08-04 23:53:51,200
2025-08-05 00:03:51,200
2025-08-05 00:13:51,200
2025-08-05 00:23:51,200
2025-08-05 00:33:51,200
2025-08-05 00:43:51,200
2025-08-05 00:53:51,200
2025-08-05 01:03:51,200
2025-08-05 01:13:51,200
2025-08-05 01:23:51,200
2025-08-05 01:33:51,200
2025-08-05 01:43:51,201
2025-08-05 01:53:51,201
2025-08-05 02:03:51,201
2025-08-05 02:13:51,201
2025-08-05 02:23:51,201
2025-08-05 02:33:51,201
2025-08-05 02:43:51,201
2025-08-05 02:53:51,201
2025-08-05 03:03:51,201
2025-08-05 03:13:51,201
2025-08-05 03:23:51,202
2025-08-05 03:33:51,202
2025-08-05 03:43:51,202
2025-08-05 03:53:51,202
2025-08-05 04:03:51,202
2025-08-05 04:13:51,202
2025-08-05 04:23:51,202
2025-08-05 04:33:51,202
2025-08-05 04:43:51,202
2025-08-05 04:53:51,202
2025-08-05 05:03:51,202
2025-08-05 05:13:51,202
2025-08-05 05:23:51,202
2025-08-05 05:33:51,202
2025-08-05 05:43:51,202
2025-08-05 05:53:51,202
2025-08-05 06:03:51,202
2025-08-05 06:13:51,202
2025-08-05 06:23:51,202
2025-08-05 06:33:51,202
2025-08-05 06:43:51,202
2025-08-05 06:53:51,202
2025-08-05 07:03:51,202
2025-08-05 07:13:51,202
2025-08-05 07:23:51,202
2025-08-05 07:33:51,202
2025-08-05 07:43:51,202
2025-08-05 07:53:51,202
2025-08-05 08:03:51,202
2025-08-05 08:13:51,202
2025-08-05 08:23:51,202
2025-08-05 08:33:51,202
2025-08-05 08:43:51,202
2025-08-05 08:53:51,202
2025-08-05 09:03:51,202
2025-08-05 09:13:51,202
2025-08-05 09:23:51,201
2025-08-05 09:33:51,201
2025-08-05 09:43:51,201
2025-08-05 09:53:51,201
2025-08-05 10:03:51,200
2025-08-05 10:13:51,200
2025-08-05 10:23:51,200
2025-08-05 10:33:51,199
2025-08-05 10:43:51,199
2025-08-05 10:53:51,199
2025-08-05 11:03:51,198
2025-08-05 11:13:51,198
2025-08-05 11:23:51,198
2025-08-05 11:44:19,197
2025-08-05 11:44:41,197
2025-08-05 11:54:41,197
2025-08-05 12:04:41,197
2025-08-05 12:14:41,197
2025-08-05 12:24:41,197
2025-08-05 12:34:41,197
2025-08-05 12:44:41,197
2025-08-05 12:54:41,196
2025-08-05 13:04:41,196
2025-08-05 13:14:41,196
2025-08-05 13:24:41,196
2025-08-05 13:34:41,196
2025-08-05 13:44:41,196
2025-08-05 13:54:41,196
2025-08-05 14:04:41,196
2025-08-05 14:14:41,196
2025-08-05 14:24:41,196
2025-08-05 14:34:41,196
2025-08-05 14:44:41,195
2025-08-05 14:54:41,195
2025-08-05 15:04:41,195
2025-08-05 15:14:41,195
2025-08-05 15:24:41,195
2025-08-05 15:34:41,195
2025-08-05 15:44:41,195
2025-08-05 15:54:41,195
2025-08-05 16:04:41,195
2025-08-05 16:14:41,195
2025-08-05 16:24:41,195
2025-08-05 16:34:41,195
2025-08-05 16:44:41,195
2025-08-05 16:54:41,195
2025-08-05 17:04:41,195
2025-08-05 17:14:41,195
2025-08-05 17:24:41,195
2025-08-05 17:34:41,195
2025-08-05 17:44:41,195
2025-08-05 17:54:41,195
2025-08-05 18:04:41,195
2025-08-05 18:14:41,195
2025-08-05 18:24:41,195
2025-08-05 18:34:41,195
2025-08-05 18:44:41,195
2025-08-05 18:54:41,195
2025-08-05 19:04:41,195
2025-08-05 19:14:41,196
2025-08-05 19:24:41,196
2025-08-05 19:34:41,196
2025-08-05 19:44:41,196
2025-08-05 19:54:41,196
2025-08-05 20:04:41,197
2025-08-05 20:14:41,197
2025-08-05 20:24:41,197
2025-08-05 20:34:41,198
2025-08-05 20:44:41,198
2025-08-05 20:54:41,198
2025-08-05 21:04:41,199
2025-08-05 21:14:41,199
2025-08-05 21:24:41,199
2025-08-05 21:34:41,199
2025-08-05 21:44:41,199
2025-08-05 21:54:41,199
2025-08-05 22:04:41,199
2025-08-05 22:14:41,199
2025-08-05 22:24:41,199
2025-08-05 22:34:41,199
2025-08-05 22:44:41,199
2025-08-05 22:54:41,200
2025-08-05 23:04:41,200
2025-08-05 23:14:41,200
2025-08-05 23:24:41,200
2025-08-05 23:34:41,200
2025-08-05 23:44:41,200
2025-08-05 23:54:41,200
2025-08-06 00:04:41,200
2025-08-06 00:14:41,200
2025-08-06 00:24:41,200
2025-08-06 00:34:41,200
2025-08-06 00:44:41,200
2025-08-06 00:54:41,200
2025-08-06 01:04:41,200
2025-08-06 01:14:41,200
2025-08-06 01:24:41,200
2025-08-06 01:34:41,200
